;Unnamed: 0;Summons Number;Plate ID;Registration State;Plate Type;Issue Date;Violation Code;Vehicle Body Type;Vehicle Make;Issuing Agency;Street Code1;Street Code2;Street Code3;Vehicle Expiration Date;Violation Location;Violation Precinct;Issuer Precinct;Issuer Code;Issuer Command;Issuer Squad;Violation Time;Time First Observed;Violation County;Violation In Front Of Or Opposite;Number;Street;Intersecting Street;Date First Observed;Law Section;Sub Division;Violation Legal Code;Days Parking In Effect    ;From Hours In Effect;To Hours In Effect;Vehicle Color;Unregistered Vehicle?;Vehicle Year;Meter Number;Feet From Curb;Violation Post Code;Violation Description;No Standing or Stopping Violation;Hydrant Violation;Double Parking Violation
83;9039192;7095575496;ZTX68Z;NJ;PAS;06/24/2014;14;4DSD;HYUND;T;34690;10410;10510;88888888;18.0;18;18;358204;T106;M;1131A;;NY;O;44;W 46th St;;0.0;408.0;c;;YYYYY;0700A;0600P;GREY;;0.0;;0.0;99 6;14-No Standing;;;
91;2970464;7707951815;GHP9550;NY;PAS;11/07/2013;16;4DSD;TOYOT;T;10010;0;0;20150630;17.0;17;17;330001;T503;B1;1018A;;NY;I;W;1st Ave;20ft N/of E 55th St;0.0;408.0;k2;;Y;0700A;0700P;GREY;;2012.0;;0.0;17 -;16A-No Std (Com Veh) Non-COM;;;
94;4556269;7713785504;GBP2526;NY;OMS;12/02/2013;37;4DSD;CHEVR;T;23070;51090;28265;20140930;103.0;103;103;357098;T402;H;1137A;1057A;Q;O;92-10;147th Pl;;0.0;408.0;h1;;Y;0900A;0700P;GY;;2013.0;403-3020;0.0;10 -;37-Expired Muni Meter;;;
95;3358705;7998740322;W93AGT;NJ;PAS;11/20/2013;21;4DSD;TOYOT;T;37702;11010;13610;88888888;34.0;34;34;349850;T103;AA;1002A;;NY;F;500;W 213th St;;0.0;408.0;d1;;Y;0930A;1100P;GOLD;;0.0;;0.0;C -;21-No Parking (street clean);;;
96;5509836;7048152140;GKU6604;NY;PAS;02/21/2014;38;4DSD;NISSA;T;26790;28590;12810;20151218;5.0;5;5;356492;T101;F;0531P;;NY;F;42;Mott St;;0.0;408.0;h1;;Y;0730A;1200A;BL;;2014.0;;0.0;74 1;38-Failure to Display Muni Rec;;;
100;6249650;7596847481;GHR3069;NY;PAS;03/18/2014;20;4DSD;HONDA;T;34110;10910;11010;20151016;10.0;10;10;345097;T108;H;0537P;;NY;F;444;W 17th St;;0.0;408.0;d;;YYYYY;0800A;0600P;WH;;1999.0;;0.0;03 8;20A-No Parking (Non-COM);;;
101;2884227;7154909493;BEU4090;NY;PAS;11/04/2013;71;4DSD;TOYOT;T;49090;29571;29569;20140522;101.0;101;101;353179;T402;M;1112A;;Q;O;24-12;Healy Ave;;0.0;408.0;j6;;YYYYYYY;;;BK;;1999.0;;0.0;R -;71A-Insp Sticker Expired (NYS);;;
108;8178746;7544759969;FJY7354;NY;PAS;05/22/2014;38;4DSD;TOYOT;T;42730;58730;23330;20150330;79.0;79;79;358951;T301;P;0317P;;K;F;1409;Fulton St;;0.0;408.0;h1;;Y;0830A;0700P;GY;;2009.0;;0.0;09 3;38-Failure to Display Muni Rec;;;
109;6759789;7220629473;T520787C;NY;OMT;04/19/2014;21;4DSD;TOYOT;T;11710;35750;35770;20150131;24.0;24;24;351997;T103;A;0848A;;NY;O;801;Amsterdam Ave;;0.0;408.0;d1;;Y    Y;0830A;0900A;GR;;2007.0;;0.0;J 77;21-No Parking (street clean);;;
118;7184785;7706208527;FJD3416;NY;PAS;04/01/2014;14;4DSD;LEXUS;T;18090;25390;27790;20150503;18.0;18;18;357735;T503;D1;0501P;;NY;F;57;E 55th St;;0.0;408.0;c;;YYYYYYY;;;BK;;2013.0;;0.0;C 77;14-No Standing;;;
119;665326;7980722978;CPF7875;NY;PAS;08/19/2013;38;4DSD;NISSA;T;51090;26690;26740;20150720;105.0;105;105;358646;T402;D;0528P;;Q;F;216-22;Jamaica Ave;;0.0;408.0;h1;;Y;0830A;0700P;GY;;2003.0;;0.0;15 -;38-Failure to Display Muni Rec;;;
122;6988556;4600233712;EVV7682;NY;PAS;04/25/2014;36;4DSD;HONDA;V;0;0;0;0;;0;0;0;;;1245P;;;;;NB KINGS HWY E 92 ST;- E 96 ST;0.0;1180.0;B;T;;;;GY;;2008.0;;0.0;;PHTO SCHOOL ZN SPEED VIOLATION;;;
124;7372332;5073271324;GKY4442;NY;PAS;04/12/2014;7;4DSD;NISSA;V;0;0;0;0;;0;0;0;;;0418A;;;;;WOODHAVEN BLVD. (S/B;) @ YELLOWSTONE BLVD;0.0;1111.0;D;T;;;;GY;;2003.0;;0.0;;FAILURE TO STOP AT RED LIGHT;;;
127;3634826;7762751646;GJN7893;NY;PAS;11/30/2013;74;4DSD;HONDA;T;12440;27258;27262;20150716;105.0;105;105;357055;T402;R;0219P;;Q;F;25417;60th Ave;;0.0;408.0;j2;;;;;LTP;;1994.0;;0.0;I -;74A-Improperly Displayed Plate;;;
129;6114015;7277990389;GHG2859;NY;PAS;03/13/2014;38;4DSD;NISSA;T;24390;14010;23130;20150611;5.0;5;5;346381;T105;E;0114P;;NY;O;138;Lafayette St;;0.0;408.0;h1;;Y;0730A;0700P;BK;;2013.0;;0.0;099;38-Failure to Display Muni Rec;;;
136;444368;7088356867;EUJ2469;NY;PAS;08/10/2013;21;4DSD;VOLKS;T;67030;14730;14780;20131102;61.0;61;61;357091;T302;N;0844A;;K;F;3668;Nostrand Ave;;0.0;408.0;d1;;Y;0830A;0900A;WH;;2013.0;;0.0;19 -;21-No Parking (street clean);;;
137;6564766;7959403417;DLU8100;NY;PAS;03/27/2014;70;4DSD;TOYOT;T;38150;36520;54060;20131013;121.0;121;121;348538;T303;M;0840A;;R;F;17;Maple Pky;;0.0;408.0;j3;;YYYYYYY;;;BK;;2005.0;;0.0;C-AM;70A-Reg. Sticker Expired (NYS);;;
138;4789678;7510749402;DBK7117;NY;PAS;12/18/2013;21;4DSD;NISSA;T;42330;95130;58200;20141229;84.0;84;84;354019;T301;M;0845A;;K;F;57;Front St;;0.0;408.0;d1;;Y;0830A;1000A;RD;;2005.0;;0.0;A -;21-No Parking (street clean);;;
140;3697132;7566718540;GFT8342;NY;PAS;01/06/2014;19;4DSD;HYUND;T;78050;52220;61220;20150528;49.0;49;49;358935;T202;E;0150P;;BX;F;1807;Williamsbridge Rd;;0.0;408.0;c3;;YYYYYYY;;;GY;;2013.0;;0.0;08A;19-No Stand (bus stop);;;
144;230140;7808115708;FBY6738;NY;PAS;08/02/2013;71;4DSD;HONDA;T;48830;89530;15180;20140502;76.0;76;76;354029;T302;H;0629P;;K;F;394;Henry St;;0.0;408.0;j6;;YYYYYYY;;;BK;;1995.0;;0.0;C1 -;71A-Insp Sticker Expired (NYS);;;
151;2381269;7003308850;3123575;NH;PAS;10/18/2013;14;4DSD;NISSA;T;13790;0;0;20140588;112.0;112;112;340066;T401;M;0824A;;Q;I;E;66th Ave;10ft N/of 103rd St;0.0;408.0;c;;YYYYYYY;;;SILVE;;0.0;;0.0;A -;14-No Standing;;;
156;1500841;7354984188;EGT3191;NY;PAS;09/18/2013;60;4DSD;PONTI;T;76330;0;0;20140417;60.0;60;60;357116;T302;J;0256P;;K;I;S;Sheepshead Bay Rd;20ft E/of W 6th St;0.0;408.0;m2;;;;;GY;;2008.0;;0.0;W -;60-Angle Parking;;;
160;1524147;7701919144;GAR2793;NY;PAS;09/19/2013;38;4DSD;INFIN;T;26230;36930;36980;20140708;67.0;67;67;357758;T302;N;1239P;;K;F;4811;Church Ave;;0.0;408.0;h1;;Y;0800A;0700P;RD;;2002.0;;0.0;29 -;38-Failure to Display Muni Rec;;;
168;7855548;7201937467;T608604C;NY;OMT;05/12/2014;21;4DSD;LINCO;T;8580;6380;6480;20150228;66.0;66;66;358846;T302;R;0940A;;K;F;1313;40th St;;0.0;408.0;d1;;Y;0830A;1000A;WH;;2005.0;;0.0;01 3;21-No Parking (street clean);;;
169;2672343;7231089586;FSN4478;NY;PAS;10/28/2013;38;4DSD;VOLKS;T;5580;5930;6030;20131212;78.0;78;78;357803;T302;B;1227P;;K;F;429;5th Ave;;0.0;408.0;h1;;Y;0800A;0700P;BK;;2005.0;;0.0;56 -;38-Failure to Display Muni Rec;;;
171;2972032;7788690235;V13052;NY;SRF;11/07/2013;14;4DSD;HYUND;T;28990;14890;15040;20150704;112.0;112;112;357347;T401;I;1024A;;Q;F;71-24;Austin St;;0.0;408.0;c;;YYYYYYY;;;BL;;2012.0;;0.0;55-A;14-No Standing;;;
173;5188038;7502965385;GKE7468;NY;PAS;02/06/2014;38;4DSD;HONDA;T;56030;86330;89730;88888888;77.0;77;77;357341;T301;E;0144P;;K;O;400;Lincoln Pl;;0.0;408.0;h1;;Y;0830A;0700P;SILVE;;0.0;;0.0;19 -;38-Failure to Display Muni Rec;;;
176;5743951;7331505816;FDV3579;NY;PAS;02/28/2014;24;4DSD;ACURA;T;58420;16420;11625;20141101;45.0;45;45;355598;T202;O;0749A;;BX;O;1866;Pilgrim Ave;;0.0;408.0;d5;;YYYYYYY;0700A;0400P;BK;;1999.0;;0.0;D 22;24-No Parking (exc auth veh);;;
177;8817975;7999186454;EWC2584;NY;PAS;06/14/2014;71;4DSD;ME/BE;T;36290;10410;24690;20151130;25.0;25;25;356300;T103;G;1205P;;NY;F;36;W 126th St;;0.0;408.0;j6;;YYYYYYY;;;WH;;2010.0;;0.0;01 7;71A-Insp Sticker Expired (NYS);;;
178;1802500;7320771330;GCR3999;NY;PAS;09/29/2013;14;4DSD;HONDA;T;13310;25190;10510;20150108;6.0;6;6;356308;T800;A2;0129A;;NY;O;203;Bleecker St;;0.0;408.0;c;;YYYYYYY;0600P;0600A;BK;;2010.0;;0.0;A -;14-No Standing;;;
184;1916108;7713773230;D27CHU;NJ;PAS;10/02/2013;50;4DSD;NISSA;T;0;0;0;88888888;102.0;102;102;357098;T402;A;0928A;;Q;I;W;114th St;0ft S/of Atlantic Av;0.0;408.0;e5;;;;;WHITE;;0.0;;0.0;20 -;50-Crosswalk;;;
185;2836618;7570378179;446YAG;CT;PAS;11/02/2013;17;4DSD;CHRYS;T;77150;40404;40404;20130088;49.0;49;49;355598;T202;O;0212A;;BX;I;;WHITE PLAINS RD LOT;;0.0;408.0;c4;;YYYYYYY;;;WHITE;;0.0;;0.0;B -;17-No Stand (exc auth veh);;;
186;2392132;7544731479;EFX2860;NY;PAS;10/18/2013;21;4DSD;HONDA;T;68930;87330;86330;20150726;88.0;88;88;358114;T301;C;0931A;;K;O;885;Pacific St;;0.0;408.0;d1;;Y  Y;0830A;1000A;WH;;2007.0;;0.0;19 -;21-No Parking (street clean);;;
190;2204650;7029509997;2MGU046;CA;PAS;10/11/2013;21;4DSD;ME/BE;T;10580;6080;6180;20140188;68.0;68;68;345534;T302;Q;0950A;;K;F;1016;80th St;;0.0;408.0;d1;;Y;0930A;1100A;BLACK;;0.0;;0.0;E -;21-No Parking (street clean);;;
193;3490137;7513427008;S16039;FL;PAS;11/25/2013;21;4DSD;VOLKS;T;69330;67030;64830;20131288;77.0;77;77;355624;T301;O;0908A;;K;F;879;Park Pl;;0.0;408.0;d1;;Y  Y;0830A;1000A;BLUE;;0.0;;0.0;H -;21-No Parking (street clean);;;
195;5410337;7282202837;DAZ5110;NY;PAS;02/17/2014;38;4DSD;INFIN;T;35380;54050;14480;20150301;61.0;61;61;356273;T302;C;1032A;;K;O;1720;E 13th St;;0.0;408.0;h1;;Y;0900A;0700P;BR;;2001.0;;0.0;03 3;38-Failure to Display Muni Rec;;;
196;1652342;7322337049;ZXW65N;NJ;PAS;09/24/2013;21;4DSD;HONDA;T;18950;0;0;88888888;23.0;23;23;349848;T103;F;0811A;;NY;I;N;E 99th St;88ft W/of Park Ave;0.0;408.0;d1;;Y;0800A;0830A;BLACK;;0.0;;0.0;17 -;21-No Parking (street clean);;;
197;3668961;7072728363;FJX5817;NY;PAS;01/02/2014;20;4DSD;MAZDA;T;71420;0;0;20150512;50.0;50;50;355539;T201;N;0808A;;BX;O;160;Van Cortlandt Park;South;0.0;408.0;d;;YYYYY;0800A;0600P;GY;;2006.0;;0.0;P -;20A-No Parking (Non-COM);;;
198;8944477;7613034070;BXR3319;NY;PAS;06/19/2014;21;4DSD;TOYOT;T;8140;7990;37290;20140903;114.0;114;114;361130;T401;D;0837A;;Q;O;31-86;31st St;;0.0;408.0;d1;;Y;0830A;0900A;BR;;1994.0;;0.0;31-A;21-No Parking (street clean);;;
200;2084416;7726139900;680YRH;CT;PAS;10/08/2013;37;4DSD;ME/BE;T;13890;0;0;88880088;112.0;112;112;357749;T401;F;0516P;0443P;Q;I;E;66th Rd;50ft N/of 99th St;20131008.0;408.0;h1;;Y;0900A;0700P;BLACK;;0.0;417-3074;0.0;59-P;37-Expired Muni Meter;;;
202;870663;7735428467;86912;NY;MED;08/27/2013;21;4DSD;TOYOT;T;17530;73650;57030;20131008;94.0;94;94;330760;T802;A;0127A;;K;F;20;Bayard St;;0.0;408.0;d1;;Y  Y;1200A;0300A;BK;;2007.0;;0.0;14 -;21-No Parking (street clean);;;
204;8382834;7296397871;FWS4399;NY;PAS;05/30/2014;21;4DSD;VOLKS;T;19990;36670;36770;20160222;30.0;30;30;349850;T103;AA;0914A;;NY;O;291;Edgecombe Ave;;0.0;408.0;d1;;Y  Y;0900A;1030A;GY;;2003.0;;0.0;K 77;21-No Parking (street clean);;;
207;5884258;7615695946;FWS9037;NY;PAS;03/05/2014;38;4DSD;FORD;T;61090;14690;14840;20160131;108.0;108;108;357800;T401;G;1237P;;Q;F;69-12;Roosevelt Ave;;0.0;408.0;h1;;YYYYY;1000A;0400P;GREY;;2012.0;;0.0;41 4;38-Failure to Display Muni Rec;;;
215;8906979;7147501986;FLW3434;NY;PAS;06/18/2014;20;4DSD;CHRYS;T;10880;16730;17330;20160108;62.0;62;62;355614;T302;B;0225P;;K;O;2180;86th St;;0.0;408.0;d;;YYYYYYY;;;GY;;2004.0;;0.0;06 3;20A-No Parking (Non-COM);;;
217;6822901;7535468184;GHJ2009;NY;PAS;04/18/2014;20;4DSD;TOYOT;T;48830;0;0;20150630;84.0;84;84;355531;T301;G;1255P;;K;I;S;Henry St;20ft W/of Montague S;0.0;408.0;d;;YYYYYYY;;;GREY;;2011.0;;0.0;01 3;20A-No Parking (Non-COM);;;
221;2187583;5071116017;FTH6371;NY;PAS;10/10/2013;7;4DSD;NISSA;V;0;0;0;0;;0;0;0;;;0351P;;;;;SEAGIRT BLVD.(W/B)@B;EACH 9TH ST.-RD-4;0.0;1111.0;D;T;;;;DKGY;;2012.0;;0.0;;FAILURE TO STOP AT RED LIGHT;;;
222;5861387;5072924543;GME3951;NY;PAS;03/05/2014;7;4DSD;INFIN;V;0;0;0;0;;0;0;0;;;0718P;;;;;OCEAN PKWY.(N/B)@AVE;.W.-LV-4;0.0;1111.0;D;T;;;;BK;;2014.0;;0.0;;FAILURE TO STOP AT RED LIGHT;;;
223;1222926;7099327501;EXP9674;NY;OMS;09/09/2013;37;4DSD;ME/BE;T;15540;8790;8890;20130930;115.0;115;115;358645;T401;R;0355P;0342P;Q;F;37-07;73rd St;;0.0;408.0;h1;;Y;0800A;0700P;WH;;2013.0;412-2431;0.0;20 -;37-Expired Muni Meter;;;
224;8125683;7046184355;RRC70D;NJ;PAS;05/21/2014;38;4DSD;SUBAR;T;21990;32990;33690;88888888;6.0;6;6;356962;T101;F;0218P;;NY;F;88;Grove St;;0.0;408.0;h1;;Y;0800A;1000P;SILVE;;0.0;;0.0;67 1;38-Failure to Display Muni Rec;;;
230;8541802;7487886840;JPB1065;PA;PAS;06/05/2014;51;4DSD;HONDA;T;19140;26390;26380;20150488;105.0;105;105;356279;T402;R;0327P;;Q;O;21114;99th Ave;;0.0;408.0;e3;;;;;GOLD;;0.0;;0.0;I 42;51-Sidewalk;;;
235;4018233;7501845300;AMB9842;NY;PAS;01/16/2014;20;4DSD;CHEVR;T;26730;72730;69330;20150330;77.0;77;77;347607;T301;Y;0108P;;K;F;727;Classon Ave;;0.0;408.0;d;;Y;0800A;0600P;RED;;1996.0;;0.0;J -;20A-No Parking (Non-COM);;;
236;2738325;7466708298;GEK2524;NY;OMS;10/30/2013;40;4DSD;TOYOT;T;16540;64780;51960;20140930;107.0;107;107;356353;T402;H;0841A;;Q;F;179-43;80th Rd;;0.0;408.0;e2;;YYYYYYY;;;GY;;2013.0;;0.0;08 -;40-Fire Hydrant;;;
239;7601225;7133842660;GLS6065;NY;PAS;05/03/2014;21;4DSD;INFIN;T;56490;13940;13870;20151218;104.0;104;104;356500;T401;M;0847A;;Q;F;66-15;Myrtle Ave;;0.0;408.0;d1;;Y;0830A;0900A;BK;;2010.0;;0.0;K 41;21-No Parking (street clean);;;
242;6925154;7939915253;GAR5448;NY;PAS;04/11/2014;37;4DSD;HONDA;T;17070;13460;10110;20141108;5.0;5;5;355562;T101;F;0538P;0510P;NY;F;89;E 4th St;;0.0;408.0;h1;;Y;0900A;0700P;GY;;2007.0;104-7951;0.0;59 1;37-Expired Muni Meter;;;
248;8658458;7873145104;EMM8759;NY;PAS;06/09/2014;21;4DSD;TOYOT;T;17270;10110;10010;20141105;13.0;13;13;355212;T102;A;0739A;;NY;F;329;E 14th St;;0.0;408.0;d1;;Y;0730A;0800A;SILVE;;2007.0;;0.0;99 6;21-No Parking (street clean);;;
249;7566381;7282729980;GLJ5970;NY;OMS;05/02/2014;40;4DSD;BMW;T;36270;11710;27390;20150930;33.0;33;33;355556;T800;B2;0215A;;NY;F;511;W 125th St;;0.0;408.0;e2;;YYYYYYY;;;BK;;2014.0;;0.0;F 77;40-Fire Hydrant;;;
253;7558001;7977396490;FHZ7805;NY;PAS;05/01/2014;14;4DSD;TOYOT;T;29290;0;0;20150602;109.0;109;109;331844;T401;H;0141P;;Q;I;S;Barclay Ave;140ft W/of Bowne St;0.0;408.0;c;;YYYYY;0700A;0400P;BK;;2005.0;;0.0;05-P;14-No Standing;;;
264;2321641;7295429530;DPU6443;NY;PAS;10/16/2013;38;4DSD;TOYOT;T;6280;9030;64730;20140608;66.0;66;66;352979;T302;Q;1256P;;K;F;4911;12th Ave;;0.0;408.0;h1;;YYYYY;0830A;0700P;DKG;;2013.0;;0.0;J -;38-Failure to Display Muni Rec;;;
265;2649936;7459943678;FPC9386;PA;PAS;10/27/2013;19;4DSD;HONDA;T;58590;23650;23650;20140388;103.0;103;103;353159;T402;J;1109A;;Q;O;90-27;Parsons Blvd;;0.0;408.0;c3;;YYYYYYY;;;RED;;0.0;;0.0;11 -;19-No Stand (bus stop);;;
268;6733923;7099367808;GFW5396;NY;PAS;04/09/2014;21;4DSD;VOLKS;T;13640;41700;14240;20150820;104.0;104;104;358601;T401;K;0946A;;Q;O;67-12;65th Pl;;0.0;408.0;d1;;Y;0930A;1100A;GY;;2008.0;;0.0;62-A;21-No Parking (street clean);;;
269;5629749;7069064184;CHU7037;NY;PAS;02/25/2014;46;4DSD;FORD;T;36570;24690;10610;20150227;32.0;32;32;354084;T103;L;0125P;;NY;F;151;W 140th St;;0.0;408.0;f1;;;;;BK;;2006.0;;0.0;CC1;46A-Double Parking (Non-COM);;;
